network,station_code,location_code,latitude,longitude,elevation (m)
TSMIP,,TAW,22.3558,120.9036,8
TSMIP,,TAWH,22.3397,120.8878,36
TSMIP,,TCU,24.1457,120.6841,18
TSMIP,,TCU,24.1456,120.6841,89
TSMIP,,TCU001,24.9735,121.1014,85
TSMIP,,TCU002,25.0353,121.0832,26
TSMIP,B003,TCU003,25.0456,121.1432,56
TSMIP,B004,TCU004,25.0601,121.203,36
TSMIP,,TCU005,25.1033,121.2445,16
TSMIP,B006,TCU006,24.9095,121.1493,165
TSMIP,,TCU007,24.9993,121.318,100
TSMIP,,TCU008,25.0068,121.2145,89
TSMIP,,TCU009,24.9627,121.2283,135
TSMIP,,TCU010,25.001,121.162,100
TSMIP,B011,TCU011,24.8841,121.2865,20
TSMIP,B012,TCU012,24.9361,121.2987,140
TSMIP,B013,TCU013,24.864,121.2134,234
TSMIP,B014,TCU014,25.0448,121.3153,104
TSMIP,,TCU015,24.7558,120.9458,74
TSMIP,B016,TCU016,24.8145,120.9656,22
TSMIP,B017,TCU017,24.7786,121.0182,91
TSMIP,B018,TCU018,24.8786,121.0608,110
TSMIP,B019,TCU019,24.9006,120.9874,22
TSMIP,,TCU020,24.8387,121.0033,31
TSMIP,B021,TCU021,24.7919,121.174,141
TSMIP,B022,TCU022,24.7672,120.9899,51
TSMIP,B023,TCU023,24.72,121.1399,177
TSMIP,B024,TCU024,24.7357,121.0881,131
TSMIP,,TCU025,24.7055,121.1832,270
TSMIP,B026,TCU026,24.7736,121.0837,100
TSMIP,B027,TCU027,24.8301,121.0746,80
TSMIP,B028,TCU028,24.7001,121.0535,129
TSMIP,B029,TCU029,24.5577,120.7577,36
TSMIP,B030,TCU030,24.5863,120.8852,68
TSMIP,,TCU031,24.5593,120.7096,27
TSMIP,B032,TCU032,24.5221,120.8226,78
TSMIP,B033,TCU033,24.6836,120.8703,11
TSMIP,B034,TCU034,24.6381,120.8653,20
TSMIP,B035,TCU035,24.6141,120.797,13
TSMIP,B036,TCU036,24.4469,120.7049,134
TSMIP,B037,TCU037,24.4919,120.6837,33
TSMIP,,TCU038,24.4912,120.6742,8
TSMIP,B039,TCU039,24.4897,120.7908,160
TSMIP,,TCU040,24.4489,120.6549,20
TSMIP,B041,TCU041,24.3898,120.6957,95
TSMIP,,TCU042,24.5526,120.8151,67
TSMIP,B043,TCU043,24.6866,120.9598,88
TSMIP,,TCU044,24.4019,120.7652,331
TSMIP,B045,TCU045,24.5399,120.9205,201
TSMIP,,TCU046,24.4662,120.8612,218
TSMIP,B047 ,TCU047,24.617754,120.946202,105
